question,reponse_vrai,reponse_fausse1,reponse_fausse2,reponse_fausse3
Quelle est la capitale de la France?,Paris,Londres,Berlin,Madrid
Quelle est la couleur du ciel par temps clair?,Bleu,Vert,Rouge,Jaune
Quel animal miaule?,Chat,Chien,Oiseau,Lapin
Comment s'appelle l'animal qui dit "meuh"?,Vache,Cochon,Chien,Chat
Quel est le contraire de "petit"?,Grand,Gros,Petit,Moyen
Quel est le contraire de "chaud"?,Froid,Chaud,Glacé,Brûlant
Quel est le contraire de "haut"?,Bas,Haut,Moyen,Élevé
Quel est le contraire de "plein"?,Vide,Plein,Rempli,Occupé
Quel est le contraire de "lent"?,Rapide,Lent,Vite,Pressé
Quel est le contraire de "joyeux"?,Triste,Joyeux,Content,Heureux
Quel est le contraire de "sale"?,Propre,Sale,Net,Impeccable
Quel est le contraire de "devant"?,Derrière,Devant,À côté,En avant
Quel est le contraire de "ouvert"?,Fermé,Ouvert,Grand,Libre
Quel est le contraire de "dur"?,Mou,Dur,Souple,Rigide
Quel est le contraire de "vite"?,Lent,Vite,Rapide,Pressé
Quel est le contraire de "beau"?,Laid,Beau,Joli,Magnifique
Quel est le contraire de "bon"?,Mauvais,Bon,Excellent,Super
Quel est le contraire de "gros"?,Petit,Gros,Énorme,Immense
Quel est le contraire de "noir"?,Blanc,Noir,Gris,Sombre
Quelle est la capitale de la France?,Paris,Londres,Berlin,Madrid
Quelle est la couleur du ciel par temps clair?,Bleu,Vert,Rouge,Jaune
Quel animal miaule?,Chat,Chien,Oiseau,Lapin
Comment s'appelle l'animal qui dit "meuh"?,Vache,Cochon,Chien,Chat
Quel est le contraire de "petit"?,Grand,Gros,Petit,Moyen
Quel est le contraire de "chaud"?,Froid,Chaud,Glacé,Brûlant
Quel est le contraire de "haut"?,Bas,Haut,Moyen,Élevé
Quel est le contraire de "plein"?,Vide,Plein,Rempli,Occupé
Quel est le contraire de "lent"?,Rapide,Lent,Vite,Pressé
Quel est le contraire de "joyeux"?,Triste,Joyeux,Content,Heureux
Quel est le contraire de "sale"?,Propre,Sale,Net,Impeccable
Quel est le contraire de "devant"?,Derrière,Devant,À côté,En avant
Quel est le contraire de "ouvert"?,Fermé,Ouvert,Grand,Libre
Quel est le contraire de "dur"?,Mou,Dur,Souple,Rigide
Quel est le contraire de "vite"?,Lent,Vite,Rapide,Pressé
Quel est le contraire de "beau"?,Laid,Beau,Joli,Magnifique
Quel est le contraire de "bon"?,Mauvais,Bon,Excellent,Super
Quel est le contraire de "gros"?,Petit,Gros,Énorme,Immense
Quel est le contraire de "noir"?,Blanc,Noir,Gris,Sombre